11.6564	230.061	18.4679	157.044
18.6493	324.873	0.212398	317.471
0.0747472	313.834	18.0433	321.904
9.00471	282.163	29.9582	281.556
28.0177	285.494	8.00728	284.792
96.3973	184.026	91.1993	264.078
89	265.024	10.9991	264.95
9.76605	262.973	11.472	248.054
21.5852	98.4099	68.3144	145.689
57.4919	143.515	11.6841	98.3201
40.0537	353.718	0.165687	346.129
70.2629	153.922	88.1732	158.29
20.0085	154.708	68.9962	156.132
9.00646	291.307	24.9994	290.971
34.1757	244.077	13.1749	240.081
65.9178	342.244	28.1598	329.526
0.11371	390.623	47.1881	382.03
33.001	281.845	90.0116	282.216
86.9963	285.552	30.0122	285.172
40.0055	294.619	59.0159	294.892
57.0091	306.185	38.0543	307.112
40	317.111	57	317.111
4.006	36.9007	183.006	37.8771
126.979	386.612	456.013	391
52.0142	381.197	118.005	380.415
60.998	33.6465	120.002	33.3202
63.9984	246.137	88.9998	246.171
61.9858	338.684	83.9971	339.141
94.7606	273.987	99.7243	184.095
102.673	189.98	97.3158	278.08
113.998	333.094	96.9861	332.795
96.786	330.992	97.515	311.981
99	306	99	289
99.8665	285.047	101.371	257.02
102.111	250.006	104.007	217
112.714	191.238	115.38	172.053
109.739	272.036	113.399	196.067
116.994	170.208	170.006	169.792
169.676	167.986	170.789	142.946
182.015	143.092	175.82	278.038
173.91	278.712	157.279	283.895
127.994	281.869	156	282.062
128.576	313.206	119.765	337.916
133.003	301.126	108.996	301.034
119.048	348.004	116.678	375.973
135.028	387.174	116.856	390.107
156.031	154.948	130.026	155.795
121.003	142.331	156.991	142.011
240.745	231.939	257.952	227.801
186.945	275.467	231.979	270.801
488.988	307.365	446.034	305.965
447.724	317.502	423.671	282.539
420.7	279.128	383.319	265.148
381.923	265.332	320.961	268.157
319.967	269.422	188.937	276.886
199	250	199	271
201	179	201	201
202.747	103.003	202.937	121.001
208.902	125.904	205.382	92.9592
317.663	55.9976	317.908	125
210.007	55.3412	316.001	55.7991
208.907	103.03	210.395	58.0131
227.705	208.977	228.198	180.986
245.017	209.772	230.002	210.103
245.873	178.994	246.06	208
243.814	150.015	244.084	135.002
332.029	263.982	327.299	0.0125532
257.09	270.257	330.075	265.055
230.003	62.1491	300.003	61.9636
298	58.9976	248.998	59.1224
276.979	385.32	259.921	384.229
307.084	129.007	307.316	157.989
305	158.06	275.994	157.873
275.062	156	274.869	127.994
254.179	130.002	253.821	158.011
252	158.058	221.995	157.877
221.869	155.997	222.613	128.043
282.005	210	281.994	180
299.017	209.772	284.002	210.103
298.827	178.968	299.571	197.978
299	329.823	279	329.797
407.229	278.214	384.151	271.481
433.784	290.015	434.098	274.002
446.531	292.944	444.327	271.861
461.524	364.577	449.06	319.706
454.09	320.745	464.595	365.627
456.986	380.15	493.851	383.593
491.998	378.146	458.99	377.677
461.999	370.099	494.002	370.074
494.44	366.97	490.471	308.968
512.977	316.987	574.991	318.41
527.016	287.001	525.722	304.98
563.948	307.507	523.971	311.721
549.995	301.995	573.19	279.176
513.999	369.047	574	369.085
575	366.031	514.999	365.936
